Metadata,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,
Scheiner SM and Lyman RF. 1991. The genetics of phenotypic plasticity. II. Response to selection. Journal of Evolutionary Biology 4:23-50.,,,,,,,,
See Materials and Methods section for details.,,,,,,,,
,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,
,,,,,,,,
Data columns,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,
Col 4 = Generation (1-16 for 25C and 19C  -21 or -22 for Plasticity and Control),,,,,,,,
Col 5 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,
Col 6 = Family,,,,,,,,
Col 7 = Replicate vial within family and rearing temperature,,,,,,,,
Col 8 = Individual within vial,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,
,,,,,,,,
Data,,,,,,,,
________________________________________________________________________,,,,,,,,
4,3,1,1,2,3,2,7,1.12524
4,3,1,1,2,3,2,8,1.145138
4,3,1,1,2,3,2,9,1.098782
4,3,1,1,2,4,2,7,1.147106
4,3,1,1,2,4,2,8,1.14317
4,3,1,1,2,4,2,9,1.147981
4,3,1,1,2,6,1,1,1.093534
4,3,1,1,2,6,1,2,1.047614
4,3,1,1,2,6,1,3,1.072761
4,3,1,1,2,7,1,1,1.136829
4,3,1,1,2,7,1,2,1.101843
4,3,1,1,2,7,1,3,1.117368
4,3,1,1,2,10,1,1,1.08107
4,3,1,1,2,10,1,2,1.100531
4,3,1,1,2,10,1,3,1.142295
4,3,1,1,2,18,1,1,1.037993
4,3,1,1,2,18,1,2,1.057673
4,3,1,1,2,18,1,3,1.055924
4,3,1,1,2,21,1,1,1.085443
4,3,1,1,2,21,1,2,1.104685
4,3,1,1,2,21,1,3,1.127864
4,3,1,1,2,24,1,1,1.085881
4,3,1,1,2,24,1,2,1.056142
4,3,1,1,2,24,1,3,1.068606
4,3,1,1,2,25,1,1,1.151917
4,3,1,1,2,25,1,2,1.188215
4,3,1,1,2,25,1,3,1.111901
4,3,1,1,2,6,2,7,1.127645
4,3,1,1,2,6,2,8,1.13005
4,3,1,1,2,6,2,9,1.098782
4,3,1,1,2,7,2,7,1.132237
4,3,1,1,2,7,2,8,1.122835
4,3,1,1,2,7,2,9,1.10556
4,3,1,1,2,8,2,7,1.087848
4,3,1,1,2,8,2,8,1.105779
4,3,1,1,2,8,2,9,1.101624
4,3,1,1,2,9,2,7,1.115181
4,3,1,1,2,9,2,8,1.129832
4,3,1,1,2,9,2,9,1.079758
4,3,1,1,2,10,2,7,1.107091
4,3,1,1,2,10,2,8,1.09572
4,3,1,1,2,10,2,9,1.101187
4,3,1,1,2,13,2,7,1.128301
4,3,1,1,2,13,2,8,1.119117
4,3,1,1,2,13,2,9,1.078883
4,3,1,1,2,16,2,7,1.091566
4,3,1,1,2,16,2,8,1.111683
4,3,1,1,2,16,2,9,1.090472
4,3,1,1,2,18,2,7,1.040617
4,3,1,1,2,18,2,8,1.049582
4,3,1,1,2,18,2,9,1.055924
4,3,1,1,2,19,2,7,1.068387
4,3,1,1,2,19,2,8,1.100094
4,3,1,1,2,19,2,9,1.07779
4,3,1,1,2,20,2,7,1.05155
4,3,1,1,2,20,2,8,1.109059
4,3,1,1,2,20,2,9,1.101624
4,3,1,1,2,21,2,7,1.125896
4,3,1,1,2,21,2,8,1.10556
4,3,1,1,2,21,2,9,1.123928
4,3,1,1,2,22,2,7,1.080851
4,3,1,1,2,22,2,8,1.08435
4,3,1,1,2,22,2,9,1.071449
4,3,1,1,2,23,2,7,1.1318
4,3,1,1,2,23,2,8,1.092003
4,3,1,1,2,23,2,9,1.122179
4,3,1,1,2,24,2,7,1.184716
4,3,1,1,2,24,2,8,1.124146
4,3,1,1,2,24,2,9,1.119117
4,3,1,1,2,25,2,7,1.092878
4,3,1,1,2,25,2,8,1.13508
4,3,1,1,2,26,2,7,1.099438
4,3,1,1,2,26,2,8,1.091566
4,3,1,1,2,26,2,9,1.078009
4,3,1,1,2,29,2,7,1.101187
4,3,1,1,2,29,2,8,1.076697
4,3,1,1,2,29,2,9,1.095283
4,3,1,1,2,32,2,7,1.160226
4,3,1,1,2,32,2,8,1.088723
4,3,1,1,2,32,2,9,1.11868
4,3,1,1,2,36,2,7,1.089379
4,3,1,1,2,36,2,8,1.094408
4,3,1,1,2,36,2,9,1.136392
4,3,1,1,2,37,2,7,1.109496
4,3,1,1,2,37,2,8,1.075822
4,3,1,1,2,37,2,9,1.06795
4,3,1,1,2,42,2,7,1.129613
4,3,1,1,2,42,2,8,1.155415
