Metadata,,,
These are the data from the Drosophila selection experiment published in:,,,
Scheiner SM and Lyman RF. 1989. The genetics of phenotypic plasticity. I. Heritability. Journal of Evolutionary Biology 2:95-107.,,,
See Materials and Methods section for details.,,,
,,,
Funding: NIH R01-GM38201,,,
,,,
Data columns (each line consists of one F1 female),,,
Col 1 = Sire,,,
Col 2 = Dam,,,
Col 3 = Rearing temperature (19C or 25C),,,
Col 4 = Thorax length (mm),,,
,,,
Data,,,
________________________________________________________________________,,,
39,3,25,1.128
39,3,25,1.101
39,3,25,1.088
39,3,25,1.083
42,1,19,1.15
42,1,19,1.112
42,1,19,1.089
42,1,19,1.087
42,1,19,1.139
42,1,19,1.119
42,1,25,1.121
42,1,25,1.127
42,1,25,1.107
42,1,25,1.117
42,1,25,1.129
42,1,25,1.084
42,1,25,1.053
42,1,25,1.077
42,1,25,1.119
42,2,19,1.144
42,2,19,1.078
42,2,19,1.187
42,2,19,1.179
42,2,19,1.095
42,2,19,1.135
42,2,19,1.173
42,2,19,1.13
42,2,19,1.164
42,2,25,1.141
42,2,25,1.161
42,2,25,1.156
42,2,25,1.116
42,2,25,1.101
42,2,25,1.113
42,2,25,1.15
42,2,25,1.138
42,2,25,1.094
43,1,19,1.076
43,1,19,1.079
43,1,19,1.08
43,1,19,1.066
43,1,19,1.08
43,1,19,1.062
43,1,25,1.095
43,1,25,1.094
43,1,25,1.064
43,1,25,1.086
43,1,25,1.09
43,1,25,1.021
43,1,25,1.115
43,1,25,1.075
43,1,25,1.104
43,3,19,1.139
43,3,19,1.15
43,3,19,1.13
43,3,19,1.134
43,3,19,1.155
43,3,19,1.125
43,3,19,1.136
43,3,25,1.125
43,3,25,1.122
43,3,25,1.105
43,3,25,1.112
43,3,25,1.117
43,3,25,1.107
44,1,19,1.139
44,1,19,1.157
44,1,19,1.135
44,1,19,1.118
44,1,19,1.101
44,1,19,1.127
44,1,25,1.12
44,1,25,1.121
44,1,25,1.125
44,1,25,1.121
44,1,25,1.149
44,1,25,1.116
44,2,19,1.095
44,2,19,1.105
44,2,19,1.101
44,2,19,1.143
44,2,19,1.136
44,2,19,1.105
44,2,19,1.1
44,2,25,1.094
44,2,25,1.093
44,2,25,1.031
44,2,25,1.159
44,2,25,1.13
44,2,25,1.083
44,2,25,1.087
44,2,25,1.009
44,2,25,1.035
44,3,19,1.133
44,3,19,1.143
44,3,19,1.13
44,3,19,1.108
44,3,19,1.139
44,3,19,1.088
44,3,25,1.162
44,3,25,1.13
44,3,25,1.149
45,1,19,1.14
45,1,19,1.139
45,1,19,1.132
45,1,19,1.104
45,1,19,1.111
45,1,19,1.079
45,1,25,1.134
45,1,25,1.104
45,1,25,1.179
45,1,25,1.041
45,1,25,1.144
45,1,25,1.105
45,1,25,1.124
45,2,19,1.147
45,2,19,1.1
45,2,19,1.176
45,2,19,1.099
45,2,19,1.131
45,2,19,1.113
45,2,19,1.078
45,2,19,1.12
45,2,19,1.148
45,2,25,1.117
45,2,25,1.164
45,2,25,1.118
45,2,25,1.069
45,2,25,1.162
45,2,25,1.116
46,1,19,1.059
46,1,19,1.156
46,1,19,1.132
46,1,19,1.139
46,1,19,1.138
46,1,19,1.126
46,1,19,1.14
46,1,19,1.099
46,1,19,1.098
46,1,25,1.098
46,1,25,1.115
46,1,25,1.116
46,1,25,1.11
46,1,25,1.139
46,1,25,1.111
46,2,19,1.133
46,2,19,1.121
46,2,19,1.137
46,2,25,1.056
46,2,25,1.152
46,2,25,1.104
46,2,25,1.089
46,2,25,1.133
46,2,25,1.079
46,3,19,1.098
46,3,19,1.161
46,3,19,1.159
46,3,19,1.119
46,3,19,1.127
46,3,19,1.132
46,3,19,1.133
46,3,19,1.12
46,3,19,1.165
46,3,25,1.097
46,3,25,1.111
46,3,25,1.101
46,3,25,1.115
46,3,25,1.111
46,3,25,1.015
47,1,19,1.182
47,1,19,1.1
47,1,19,1.049
47,1,19,1.115
47,1,19,1.113
47,1,19,0.911
47,1,25,1.132
47,1,25,1.085
47,1,25,1.122
47,1,25,1.087
47,1,25,1.156
47,1,25,1.072
47,2,19,1.117
47,2,19,1.126
47,2,19,1.124
47,2,19,1.069
47,2,25,1.093
47,2,25,1.09
47,2,25,1.075
47,2,25,1.08
47,2,25,1.127
47,2,25,1.118
47,2,25,1.097
