13,3,25,1.079,60,7,34.33333,0,337,20,86,79,49,23,25,29,19,6,1                                                                 14   1    19            1.103         31            25       22.66667     126            310        16         4            22        36            59            47       29            57     32             8
14,1,19,1.107,66,14,9.66667,19,228,7,8,14,13,25,20,20,22,16,16
14,1,19,1.102,52,17,16,9,219,2,11,23,33,44,25,31,15,16,6
14,1,19,1.075,72,16,20.66667,1,384,5,10,30,48,55,51,53,36,38,18
14,1,25,1.027,55,10,62.33333,1,509,12,32,148,129,119,36,27,4,0,1
14,1,25,1.021,51,10,60.33333,0,522,10,48,170,148,69,24,36,15,1,1
14,1,25,1.108,44,10,47.66667,0,575,27,59,123,120,109,53,52,30,2,0
14,1,25,1.062,41,10,59.33333,2,608,13,28,144,145,99,105,51,21,1,0
14,3,19,1.102,67,15,35,4,507,8,14,14,86,105,70,64,69,33,12
14,3,19,1.147,30,19,26.66667,141,340,7,6,16,44,51,75,65,56,14,6
14,3,25,0.964,20,10,19,68,184,0,31,54,42,32,25,0,0,0,0
14,3,25,0.97,25,9,25,37,192,0,35,75,39,25,17,1,0,0,0                                                                 14   3    25            1.068         55             8       74             0            754        41       178           201       163           117            48        6             0      0             0
14,3,25,1.095,50,8,58.33333,4,750,37,123,173,126,107,53,66,30,30,1
15,2,19,1.151,70,13,23.33333,5,421,16,6,31,52,65,60,43,58,26,22                                                                15   2    19            1.136         72            14       21             5            334         5         4            54        51            58            48       24            16     15            14                                                                15   2    19            1.106         91            16       27.66667       1            625        12        13            49        47            73            67       60            59     48            56                                                                15   2    25            1.119         79            10       59             3            505        40        41           155        95            50            16       25            24     17             8
15,2,25,1.099,31,9,59.33333,5,589,20,77,178,144,95,70,1,3,1,0
15,2,25,1.146,60,11,31.33333,0,406,9,18,81,78,62,48,45,31,14,10
15,3,19,1.162,28,13,36.33333,189,469,8,14,32,100,92,101,64,49,9,0
15,3,19,1.149,58,15,32.33333,47,497,0,6,23,63,97,58,59,41,30,29
15,3,19,1.142,76,17,31,8,467,14,12,27,36,74,60,19,49,21,44
15,3,19,1.127,72,31,18.66667,33,335,6,12,6,9,10,36,23,29,12,56
15,3,25,1.02,51,9,27,2,273,4,21,81,21,58,43,20,13,8,1
15,3,25,1.113,39,9,46.66667,8,463,3,34,140,98,69,31,43,37,8,0
15,3,25,1.099,32,13,30.33333,27,411,26,57,91,89,37,57,33,12,8,1
17,1,19,1.113,49,21,21.33333,32,359,5,12,49,41,52,37,64,30,20,17
17,1,19,1.108,83,15,22.33333,4,427,13,6,5,23,67,47,46,56,29,46
17,1,19,1.149,55,14,34.66667,6,373,9,12,12,79,94,77,54,17,8,1
17,1,19,1.102,32,18,31,110,326,18,13,9,25,49,93,28,38,25,12
17,1,25,1.101,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,25,1.069,41,11,55.66667,60,820,20,99,118,135,102,119,68,69,53,15
17,1,25,1.111,29,12,25,160,447,2,41,74,75,47,60,61,39,48,0
17,2,19,1.146,51,17,35,30,448,6,11,14,33,100,84,68,33,45,21
17,2,19,1.121,53,15,17.33333,15,311,12,18,29,32,52,30,43,26,17,18
17,2,25,1.142,70,9,52,0,470,30,27,156,115,70,46,9,7,3,4
